A2M	En_2
AAAS	En_8086
AADAT	En_51166
AANAT	En_15
AASDHPPT	En_60496
AASS	En_10157
ABAT	En_18
ABCA1	En_19
ABCA10	En_10349
ABCA12	En_26154
ABCA2	En_20
ABCA3	En_21
ABCA4	En_24
ABCA6	En_23460
ABCA9	En_10350
ABCB10	En_23456
ABCB11	En_8647
ABCB4	En_5244
ABCB7	En_22
ABCB8	En_11194
ABCC1	En_4363
ABCC3	En_8714
ABCC8	En_6833
ABCC9	En_10060
ABCD1	En_215
ABCD2	En_225
ABCD3	En_5825
ABCD4	En_5826
ABCG2	En_9429
ABI1	En_10006
ABI2	En_10152
ABL1	En_25
ABL2	En_27
ABR	En_29
ACAA1	En_30
ACACA	En_31
ACACB	En_32
ACADL	En_33
ACADM	En_34
ACADS	En_35
ACADVL	En_37
ACAN	En_176
ACAT1	En_38
ACAT2	En_39
ACE	En_1636
ACE2	En_59272
ACER1	En_125981
ACER3	En_55331
ACHE	En_43
ACIN1	En_22985
ACLY	En_47
ACMSD	En_130013
ACO2	En_50
ACOT1	En_641371
ACOT2	En_10965
ACOT4	En_122970
ACOT7	En_11332
ACOT8	En_10005
ACOX1	En_51
ACOX2	En_8309
ACOX3	En_8310
ACP5	En_54
ACSBG1	En_23205
ACSBG2	En_81616
ACSL1	En_2180
ACSL3	En_2181
ACSL4	En_2182
ACSL5	En_51703
ACSL6	En_23305
ACSM1	En_116285
ACSM2A	En_123876
ACSM2B	En_348158
ACSM3	En_6296
ACSM4	En_341392
ACSM5	En_54988
ACSS1	En_84532
ACSS2	En_55902
ACTA2	En_59
ACTB	En_60
ACTG1	En_71
ACTG2	En_72
ACTL6A	En_86
ACTL6B	En_51412
ACTN2	En_88
ACTN3	En_89
ACTR1A	En_10121
ACTR1B	En_10120
ACTR2	En_10097
ACTR3	En_10096
ACVR1B	En_91
ACVR1C	En_130399
ACVR2A	En_92
ACVR2B	En_93
ADAL	En_161823
ADAM10	En_102
ADAM12	En_8038
ADAM15	En_8751
ADAM17	En_6868
ADAM9	En_8754
ADAMTS1	En_9510
ADAMTS10	En_81794
ADAMTS12	En_81792
ADAMTS13	En_11093
ADAMTS14	En_140766
ADAMTS15	En_170689
ADAMTS16	En_170690
ADAMTS17	En_170691
ADAMTS18	En_170692
ADAMTS19	En_171019
ADAMTS2	En_9509
ADAMTS20	En_80070
ADAMTS3	En_9508
ADAMTS4	En_9507
ADAMTS5	En_11096
ADAMTS6	En_11174
ADAMTS7	En_11173
ADAMTS8	En_11095
ADAMTS9	En_56999
ADAMTSL1	En_92949
ADAMTSL2	En_9719
ADAMTSL3	En_57188
ADAMTSL4	En_54507
ADAMTSL5	En_339366
ADC	En_113451
ADCY1	En_107
ADCY10	En_55811
ADCY2	En_108
ADCY3	En_109
ADCY4	En_196883
ADCY5	En_111
ADCY6	En_112
ADCY7	En_113
ADCY8	En_114
ADCY9	En_115
ADCYAP1R1	En_117
ADD1	En_118
ADH1A	En_124
ADH1B	En_125
ADH1C	En_126
ADH4	En_127
ADH5	En_128
ADH6	En_130
ADH7	En_131
ADHFE1	En_137872
ADI1	En_55256
ADIPOQ	En_9370
ADK	En_132
ADORA2A	En_135
ADPGK	En_83440
ADRA2A	En_150
ADRA2C	En_152
ADRBK1	En_156
ADSL	En_158
ADSS	En_159
ADSSL1	En_122622
AEBP2	En_121536
AFMID	En_125061
AGER	En_177
AGL	En_178
AGMAT	En_79814
AGO1	En_26523
AGO2	En_27161
AGO3	En_192669
AGO4	En_192670
AGPAT1	En_10554
AGPAT2	En_10555
AGPAT3	En_56894
AGPAT4	En_56895
AGPAT5	En_55326
AGPAT6	En_137964
AGPAT9	En_84803
AGPS	En_8540
AGRN	En_375790
AGT	En_183
AGXT	En_189
AGXT2	En_64902
AHCTF1	En_25909
AHCY	En_191
AIMP1	En_9255
AIMP2	En_7965
AJUBA	En_84962
AK1	En_203
AK2	En_204
AKAP13	En_11214
AKAP5	En_9495
AKAP9	En_10142
AKR1A1	En_10327
AKR1B10	En_57016
AKR1C1	En_1645
AKR1C2	En_1646
AKR1C3	En_8644
AKR1C4	En_1109
AKR1D1	En_6718
AKT1	En_207
AKT1S1	En_84335
AKT2	En_208
AKT3	En_10000
ALAD	En_210
ALAS1	En_211
ALAS2	En_212
ALB	En_213
ALDH18A1	En_5832
ALDH1A1	En_216
ALDH1A2	En_8854
ALDH2	En_217
ALDH4A1	En_8659
ALDH5A1	En_7915
ALDH6A1	En_4329
ALDH7A1	En_501
ALDH9A1	En_223
ALDOA	En_226
ALDOB	En_229
ALDOC	En_230
ALG1	En_56052
ALG10	En_84920
ALG10B	En_144245
ALG11	En_440138
ALG12	En_79087
ALG13	En_79868
ALG14	En_199857
ALG2	En_85365
ALG3	En_10195
ALG5	En_29880
ALG6	En_29929
ALG8	En_79053
ALG9	En_79796
ALMS1	En_7840
ALOX12	En_239
ALOX12B	En_242
ALOX15	En_246
ALOX15B	En_247
ALOX5	En_240
ALOX5AP	En_241
ALYREF	En_10189
AMACR	En_23600
AMD1	En_262
AMDHD1	En_144193
AMER1	En_139285
AMOT	En_154796
AMOTL1	En_154810
AMOTL2	En_51421
AMPD1	En_270
AMPD2	En_271
AMPD3	En_272
AMY1A	En_276
AMY1B	En_277
AMY1C	En_278
AMY2A	En_279
AMY2B	En_280
ANAPC1	En_64682
ANAPC10	En_10393
ANAPC11	En_51529
ANAPC2	En_29882
ANAPC4	En_29945
ANAPC5	En_51433
ANAPC7	En_51434
ANGPT1	En_284
ANGPTL4	En_51129
ANKLE2	En_23141
ANKRD1	En_27063
ANO1	En_55107
ANO10	En_55129
ANO2	En_57101
ANO3	En_63982
ANO4	En_121601
ANO5	En_203859
ANO6	En_196527
ANO7	En_50636
ANO8	En_57719
ANPEP	En_290
ANTXR1	En_84168
ANTXR2	En_118429
ANXA2	En_302
AP1B1	En_162
AP1G1	En_164
AP1M1	En_8907
AP1M2	En_10053
AP1S1	En_1174
AP1S2	En_8905
AP1S3	En_130340
AP2A1	En_160
AP2A2	En_161
AP2B1	En_163
AP2M1	En_1173
AP2S1	En_1175
AP3B1	En_8546
AP3S1	En_1176
AP4B1	En_10717
AP4E1	En_23431
APAF1	En_317
APBB1IP	En_54518
APC	En_324
APCS	En_325
APEX1	En_328
APH1A	En_51107
APH1B	En_83464
APIP	En_51074
APITD1	En_378708
APOA1	En_335
APOA2	En_336
APOA4	En_337
APOA5	En_116519
APOB	En_338
APOC2	En_344
APOC3	En_345
APOE	En_348
APOF	En_319
APP	En_351
APPL1	En_26060
APRT	En_353
AQP1	En_358
AQP10	En_89872
AQP2	En_359
AQP3	En_360
